warehouse_inventory_level,handling_equipment_availability,order_fulfillment_status,weather_condition_severity,shipping_costs,supplier_reliability_score,lead_time_days,historical_demand,cargo_condition_status,route_risk_level,customs_clearance_time,disruption_likelihood_score,delay_probability,risk_classification,delivery_time_deviation,supplier_country
985.7168615,0.481293674,0.761166168,0.35906606,456.503853,0.986064284,2.128008822,100.7728538,0.777263471,1.182115989,0.502006422,0.50615189,0.885291204,2,9.110681821,31
985.7168615,0.481293674,0.761166168,0.35906606,456.503853,0.986064284,2.128008822,100.7728538,0.777263471,1.182115989,0.502006422,0.50615189,0.885291204,2,9.110681821,77
985.7168615,0.481293674,0.761166168,0.35906606,456.503853,0.986064284,2.128008822,100.7728538,0.777263471,1.182115989,0.502006422,0.50615189,0.885291204,2,9.110681821,24
396.7002058,0.620780411,0.196594033,0.230659537,640.4082054,0.463232992,12.60816573,5313.738114,0.091838617,9.611988304,0.96677403,0.980783983,0.544177647,0,8.17528094,37
396.7002058,0.620780411,0.196594033,0.230659537,640.4082054,0.463232992,12.60816573,5313.738114,0.091838617,9.611988304,0.96677403,0.980783983,0.544177647,0,8.17528094,32
396.7002058,0.620780411,0.196594033,0.230659537,640.4082054,0.463232992,12.60816573,5313.738114,0.091838617,9.611988304,0.96677403,0.980783983,0.544177647,0,8.17528094,31
396.7002058,0.620780411,0.196594033,0.230659537,640.4082054,0.463232992,12.60816573,5313.738114,0.091838617,9.611988304,0.96677403,0.980783983,0.544177647,0,8.17528094,53
832.4089349,0.810933424,0.152741519,0.027210098,155.7493136,0.59856055,14.1244516,1595.049146,0.25352944,6.570431288,0.945626528,0.998632696,0.803322029,0,1.283593761,28
832.4089349,0.810933424,0.152741519,0.027210098,155.7493136,0.59856055,14.1244516,1595.049146,0.25352944,6.570431288,0.945626528,0.998632696,0.803322029,0,1.283593761,47
832.4089349,0.810933424,0.152741519,0.027210098,155.7493136,0.59856055,14.1244516,1595.049146,0.25352944,6.570431288,0.945626528,0.998632696,0.803322029,0,1.283593761,75
832.4089349,0.810933424,0.152741519,0.027210098,155.7493136,0.59856055,14.1244516,1595.049146,0.25352944,6.570431288,0.945626528,0.998632696,0.803322029,0,1.283593761,39
832.4089349,0.810933424,0.152741519,0.027210098,155.7493136,0.59856055,14.1244516,1595.049146,0.25352944,6.570431288,0.945626528,0.998632696,0.803322029,0,1.283593761,80
0.573283236,0.008525055,0.811885117,0.616619118,104.3179605,0.742734539,3.818972423,2530.431941,0.877576455,0.548952041,4.674035152,0.993320311,0.025977464,0,9.304897171,85
0.573283236,0.008525055,0.811885117,0.616619118,104.3179605,0.742734539,3.818972423,2530.431941,0.877576455,0.548952041,4.674035152,0.993320311,0.025977464,0,9.304897171,51
0.573283236,0.008525055,0.811885117,0.616619118,104.3179605,0.742734539,3.818972423,2530.431941,0.877576455,0.548952041,4.674035152,0.993320311,0.025977464,0,9.304897171,68
0.573283236,0.008525055,0.811885117,0.616619118,104.3179605,0.742734539,3.818972423,2530.431941,0.877576455,0.548952041,4.674035152,0.993320311,0.025977464,0,9.304897171,89
0.573283236,0.008525055,0.811885117,0.616619118,104.3179605,0.742734539,3.818972423,2530.431941,0.877576455,0.548952041,4.674035152,0.993320311,0.025977464,0,9.304897171,69
914.925067,0.020083428,0.053659432,0.952384588,977.2225276,0.431088309,14.00149111,2146.190197,0.262080873,8.861442874,3.445429027,0.91243276,0.991122067,0,7.752483862,77
914.925067,0.020083428,0.053659432,0.952384588,977.2225276,0.431088309,14.00149111,2146.190197,0.262080873,8.861442874,3.445429027,0.91243276,0.991122067,0,7.752483862,75
